product_id,timestamp,product_type,line_id,shift,supplier_grade,inspection_method,machine_temperature_c,vibration_mm_s,humidity_pct,pressure_bar,conveyor_speed_m_min,material_batch_age_days,operator_experience_months,maintenance_days_since,inspection_score,surface_roughness_um,defect_risk
PRD-00001,2026-01-01 00:00:00,motor,line_1,morning,B,visual,88.34145124013799,1.22314720337262,43.23069293794717,6.760365798009053,27.84336360601756,79,87,30,70.22080463861016,3.7582210122031,Medium
PRD-00002,2026-01-01 01:00:00,assembly,line_1,morning,B,camera,85.74692154345276,4.092306183049031,60.41930387785983,5.813559631973396,24.03938621446517,21,29,11,66.85514334788301,2.7948351197874546,Medium
PRD-00003,2026-01-01 02:00:00,valve,line_3,morning,B,ultrasound,79.72458490226948,1.7617027438076547,68.95065811347203,7.241778754019963,32.58767970142197,60,46,57,75.01416085141986,2.4345656595867387,Low
PRD-00004,2026-01-01 03:00:00,gear,line_1,evening,A,visual,85.03201008189276,3.642109455189673,59.234988557721884,6.514969823593928,28.440874903831972,9,40,65,74.31605801399274,1.784825259695252,Low
PRD-00005,2026-01-01 04:00:00,motor,line_3,evening,A,ultrasound,79.28490752236785,4.58558897829181,68.79760043333208,4.179071562471325,28.795820811546033,21,74,6,82.53792177802688,0.7352817567953358,Low
PRD-00006,2026-01-01 05:00:00,motor,line_1,night,A,visual,78.7569871621532,2.9368061824189375,61.3493483650057,7.194914936467355,36.91150071911002,22,88,77,84.90878217451431,2.5733078675256014,Medium
PRD-00007,2026-01-01 06:00:00,motor,line_2,morning,A,manual,82.31079997825799,4.959262070274129,60.65480788542154,4.960747902813321,32.39355562713756,59,89,35,82.03211912576515,2.257514382990588,Low
PRD-00008,2026-01-01 07:00:00,valve,line_3,evening,B,camera,84.04461471411327,2.6036115461513836,50.8559945380631,6.9116259000218125,31.291594744676566,51,91,59,81.16252627196852,0.1,Low
PRD-00009,2026-01-01 08:00:00,gear,line_1,evening,B,visual,85.2818024507825,4.220519692077202,57.283255126025736,4.060832653506841,33.32078916190274,84,73,14,84.93535350532278,2.171806908043805,Low
PRD-00010,2026-01-01 09:00:00,valve,line_1,evening,A,camera,92.33103061890664,1.934257098249767,54.764232346257785,7.918823198520251,35.682456029769924,53,80,43,90.64856791331017,1.6677065470586019,Low
PRD-00011,2026-01-01 10:00:00,motor,line_1,night,A,ultrasound,81.01228733967325,4.737356521616628,54.490114235466784,5.670124345437457,23.530076959339738,27,43,46,74.52646522785057,3.8337461615594304,Medium
PRD-00012,2026-01-01 11:00:00,assembly,line_2,evening,A,camera,86.57481541179857,4.5511884590951475,52.96907897639146,4.668796401334587,27.737486252206224,25,60,22,84.46249416272568,2.4497701968842294,Low
PRD-00013,2026-01-01 12:00:00,valve,line_2,night,C,camera,85.94422171155055,4.062029507556476,56.80490773966843,5.1737937203150715,29.07146080569324,33,31,60,82.19016371591638,3.4899704005092462,Low
PRD-00014,2026-01-01 13:00:00,motor,line_2,morning,B,ultrasound,80.13097370027148,3.0280590360634267,44.62924012690619,5.595781083223554,26.08663227078584,64,83,85,85.06411628586098,2.8604907573512612,Low
PRD-00015,2026-01-01 14:00:00,motor,line_1,evening,C,ultrasound,85.58992628965235,1.8175992518862658,61.4937471942526,5.993076340287277,28.939113708024063,50,53,2,80.56007624180715,3.3139417222476286,Medium
PRD-00016,2026-01-01 15:00:00,motor,line_1,morning,C,visual,93.02177132141851,3.031231621736651,47.97803765775843,7.581774763607598,23.795460394505444,14,72,69,75.33094364958599,4.3407204742532155,Medium
PRD-00017,2026-01-01 16:00:00,motor,line_1,morning,B,visual,86.4920497350672,4.832368610897747,52.99783019996234,6.08417113977289,33.68871704119618,88,98,15,80.95535167258808,3.1538536054098465,Low
PRD-00018,2026-01-01 17:00:00,gear,line_1,morning,B,manual,86.81267143221847,3.6559542458829384,57.64447914428132,3.394899842732975,27.929981637062273,57,65,50,76.5377346262131,5.067622953088305,Medium
PRD-00019,2026-01-01 18:00:00,gear,line_2,morning,A,visual,79.35737335245867,1.6363556845850604,47.58181265283591,4.5243137853973066,30.803825591544694,11,21,84,74.58221103386855,2.999497969666851,Low
PRD-00020,2026-01-01 19:00:00,motor,line_3,morning,B,camera,100.75087080963901,2.1503268326960705,39.26829550155798,9.30904175089932,30.20523447862877,34,29,56,90.89265417118582,3.476003306699945,Low
PRD-00021,2026-01-01 20:00:00,gear,line_2,morning,A,ultrasound,79.81314903741999,5.003781681022735,51.93562657841994,6.162466554795511,32.22967760449612,59,96,63,83.13657480948001,2.232510980782305,Medium
PRD-00022,2026-01-01 21:00:00,motor,line_1,morning,C,ultrasound,71.65773231562018,4.085495302553463,43.551220059330404,7.140948136812582,20.156441699312488,69,116,88,67.18587201556329,1.3582468659340905,High
PRD-00023,2026-01-01 22:00:00,motor,line_3,night,A,ultrasound,91.8814729617446,2.0191998551120864,60.69848746136376,5.6299846326073935,31.80105488423187,25,55,35,57.28135154279412,0.49808187633871004,High
PRD-00024,2026-01-01 23:00:00,motor,line_2,morning,B,visual,84.0814636828126,1.3810022045904877,45.77197141966299,4.794466422951765,28.89963311928275,11,99,88,80.86097381695588,3.207045203340045,Low
PRD-00025,2026-01-02 00:00:00,gear,line_3,evening,A,visual,82.57566543242339,2.7499494384799203,66.8812445096733,5.422461333141836,31.627455708858776,48,103,26,77.25651445945888,2.111184660722642,Low
PRD-00026,2026-01-02 01:00:00,valve,line_2,morning,C,ultrasound,80.63556975670778,1.2783695504120969,54.953656886118196,6.153991300870082,25.282187169046626,72,47,86,82.1767559655276,2.2281017709366195,Low
PRD-00027,2026-01-02 02:00:00,motor,line_1,night,B,camera,99.97371699452671,3.3129986119915995,55.473393556753834,5.44771639532752,31.654696281359225,19,13,27,83.81874106230251,2.21604598844086,Medium
PRD-00028,2026-01-02 03:00:00,gear,line_1,night,B,camera,87.83672222883746,6.441950446203565,39.15494937164269,8.302161319835717,35.19404743889685,6,107,19,81.90487570936507,1.9665721766865558,Low
PRD-00029,2026-01-02 04:00:00,gear,line_2,evening,B,camera,89.39800977316068,1.5836527091609938,56.15890103080419,5.2604966469280505,30.759065039196678,7,12,37,76.14505230811811,3.8257201534418988,Medium
PRD-00030,2026-01-02 05:00:00,motor,line_1,evening,B,camera,86.30092498865814,3.276769204152542,54.358560665013975,4.734197267699686,27.1310366934722,52,95,36,89.28552927668926,1.7943258531679365,Low
PRD-00031,2026-01-02 06:00:00,gear,line_1,morning,B,visual,87.16039690756158,5.074311890397501,44.60728772059625,6.970563311642782,27.305874428266748,72,88,40,73.2649483981173,2.8911959539664145,Low
PRD-00032,2026-01-02 07:00:00,motor,line_2,night,C,camera,96.18899688447532,4.398905429960115,55.698146710374466,7.118403004613936,32.30496520358096,51,22,63,91.12618403313452,2.891148211857437,Medium
PRD-00033,2026-01-02 08:00:00,motor,line_2,night,A,visual,82.99316271017844,3.321511142241034,51.81661591354061,6.035972545846183,32.27857724877232,47,21,39,86.37040924409288,1.3125547731787572,Low
PRD-00034,2026-01-02 09:00:00,assembly,line_2,night,C,ultrasound,73.34449963583415,3.3243815957981635,53.265697456837124,5.277427652951127,31.42616793090701,31,90,12,77.07146403936825,2.9613805950616383,Medium
PRD-00035,2026-01-02 10:00:00,assembly,line_1,evening,B,camera,91.94443723382221,2.112908261090505,55.20705409755237,3.7192094229923804,29.849899880022978,8,94,44,85.30115836085592,1.5801525800135852,Low
PRD-00036,2026-01-02 11:00:00,valve,line_1,morning,C,visual,88.97361289793913,3.178813075993336,51.228366294734386,7.464865826932932,30.811839901404365,40,4,80,79.32673712518519,2.4277912553148098,Medium
PRD-00037,2026-01-02 12:00:00,motor,line_2,night,B,visual,85.86383850308034,3.792128857088156,56.971653015590945,7.042273091906052,29.74036366718515,87,42,48,92.24867240708552,2.19317126350073,Low
PRD-00038,2026-01-02 13:00:00,motor,line_3,morning,B,camera,88.76602593238229,4.826136251928908,54.30755614119229,5.472134016301085,28.476475842934292,84,20,79,77.22805499397576,2.5427313384490677,Medium
PRD-00039,2026-01-02 14:00:00,gear,line_2,evening,C,visual,82.0340462376466,2.755789251782293,58.7821477470926,6.071486974115672,33.029907640614326,56,84,33,88.03421461414045,2.981703217350136,Medium
PRD-00040,2026-01-02 15:00:00,gear,line_3,morning,B,camera,85.16554066283408,3.272197846323845,50.77060324822407,5.727987380974065,31.240467364564424,49,4,79,72.50221473516272,1.795386867311478,Low
PRD-00041,2026-01-02 16:00:00,motor,line_2,night,B,camera,83.94639796912072,2.360943823091981,46.480641976528325,7.954476289543607,35.16216664768908,55,49,32,84.53496892680019,2.033228185094318,Low
PRD-00042,2026-01-02 17:00:00,gear,line_2,morning,A,visual,80.26809394343266,3.7703902154486064,49.32905177249489,4.754498036454928,34.46746152073613,36,51,22,84.23917818208248,1.1988595852533044,Low
PRD-00043,2026-01-02 18:00:00,motor,line_1,morning,A,visual,94.51338226484002,4.440535340370756,66.54125415081423,5.255926207176096,31.109922129376177,6,25,6,86.76464272299188,1.629901230502929,Medium
PRD-00044,2026-01-02 19:00:00,assembly,line_2,evening,B,camera,73.7019309806576,4.255577616115874,62.647732209653974,5.139928513123226,32.381522532785254,21,49,30,85.70142538605234,3.1081721139074316,Low
PRD-00045,2026-01-02 20:00:00,motor,line_2,evening,B,camera,103.88705737450374,2.0957755094691737,64.70703306079287,6.372193543730728,26.171250941056474,27,118,17,79.7163952130626,2.2033613592297385,Low
PRD-00046,2026-01-02 21:00:00,gear,line_2,evening,B,visual,92.01889767365181,3.676235851347698,65.26171166536176,6.067355344436727,29.689642088155008,48,81,2,67.44751428028216,3.228219300757756,High
PRD-00047,2026-01-02 22:00:00,motor,line_1,morning,A,ultrasound,70.77619572238119,2.687224966099774,51.26945554261438,6.240081796155379,31.370651320337217,50,91,80,71.93137644858554,1.7393205666787264,High
PRD-00048,2026-01-02 23:00:00,gear,line_2,morning,B,camera,83.20666936407257,4.7132600187834,57.3664954832677,4.9432714493506005,23.669055778903807,16,47,55,66.52080302650079,1.8834269623285527,High
PRD-00049,2026-01-03 00:00:00,gear,line_1,evening,B,visual,83.65163267277154,3.306424732671754,55.6067120227837,7.781876196492473,31.717688241276548,58,84,12,79.9872978641661,3.3830190016070616,Low
PRD-00050,2026-01-03 01:00:00,motor,line_2,night,B,manual,88.1350930315369,1.6765839941106988,60.27630820473138,5.455145871334516,26.163092101668255,17,23,12,90.49630650781307,2.6833150760833973,Low
PRD-00051,2026-01-03 02:00:00,assembly,line_1,night,C,camera,77.08497383408223,3.2362367532707204,52.68665403815226,7.42510793927583,26.601664437886004,78,49,51,76.44422090896836,1.307082777491302,Low
PRD-00052,2026-01-03 03:00:00,valve,line_3,evening,B,visual,85.25620274694573,4.050167083038658,55.74379325672803,9.766936796737614,27.882057771338836,72,34,48,79.0292935418931,2.0472016796605708,Low
PRD-00053,2026-01-03 04:00:00,assembly,line_1,night,A,visual,84.03104481501883,3.7928072757713593,55.578171820957486,4.951996735422746,29.87797333503737,75,116,39,77.56215600468818,3.1889331422354408,Low
PRD-00054,2026-01-03 05:00:00,valve,line_1,evening,C,ultrasound,79.09905309941249,2.8858447836176238,59.258099199325585,6.410861879845556,24.687885771874157,70,21,81,83.86608212792282,2.3653180437181547,Low
PRD-00055,2026-01-03 06:00:00,gear,line_1,evening,B,visual,77.98598214823015,2.797671932154625,60.245737768572795,5.842075634092897,33.42657389845531,19,20,70,83.30153001616829,3.473879885106595,Low
PRD-00056,2026-01-03 07:00:00,assembly,line_2,evening,B,manual,92.35043717361886,2.3149947221404203,55.7493682587216,8.437057865907397,30.709672957448728,66,26,1,78.8546276768196,1.4653760443759654,Low
PRD-00057,2026-01-03 08:00:00,motor,line_1,evening,A,camera,71.42733967965926,3.0263004555976325,55.99192627252646,5.66321528701788,37.699916122242044,77,49,16,74.7221729650291,3.4707409238476985,Medium
PRD-00058,2026-01-03 09:00:00,motor,line_1,evening,B,camera,88.82303148876841,2.4731852401690366,56.80718416598963,6.298429773021703,31.200321822079665,28,108,46,86.69892856509826,1.5542409227223872,Medium
PRD-00059,2026-01-03 10:00:00,motor,line_2,evening,A,manual,91.38008245502499,4.664103183412777,68.17241136498434,6.272241983413592,32.28322071161198,74,32,63,90.21353000412456,2.6960519898710986,Low
PRD-00060,2026-01-03 11:00:00,motor,line_1,morning,B,visual,83.25153329329267,2.418635131122061,41.160017669464544,5.879521476062591,26.584542928989475,65,95,59,88.02023571875327,3.2579022472279697,Low
PRD-00061,2026-01-03 12:00:00,motor,line_3,morning,A,ultrasound,85.41898271779996,3.6467413548346412,47.24256271025754,6.906568521440214,25.272758835546867,75,87,47,73.40720823746746,2.6037960343947404,Low
PRD-00062,2026-01-03 13:00:00,motor,line_3,morning,A,visual,94.30795999757905,3.565164683991599,60.38943677156753,6.112075680546053,32.476624489668666,84,23,16,64.93103810056384,2.957486093398419,Medium
PRD-00063,2026-01-03 14:00:00,valve,line_2,evening,A,visual,79.36118791420755,4.634800937461893,57.15827519071273,6.578222085654097,25.626840137972984,85,50,46,80.21004892368943,3.3197479859934305,Low
PRD-00064,2026-01-03 15:00:00,motor,line_1,morning,A,visual,80.186780568887,4.807241946750045,57.10199640120701,6.256323245828357,32.56739794220926,76,107,80,92.32431919560419,2.879730985050295,Medium
PRD-00065,2026-01-03 16:00:00,motor,line_2,morning,A,manual,81.03613055120553,4.335163931937594,60.33996398970685,5.2745547291472334,36.826097888846,7,68,39,67.07085860558982,2.250202571086406,High
PRD-00066,2026-01-03 17:00:00,gear,line_1,evening,B,ultrasound,94.32260479378625,3.9235140119481557,56.7119431449901,5.677245528329748,33.78307474497492,33,47,50,78.91383562311793,2.3177345759071497,Low
PRD-00067,2026-01-03 18:00:00,motor,line_1,evening,A,camera,95.33834997507766,2.2416246246871303,50.52574017240621,6.666507423291552,32.2817864649415,25,3,49,94.07010086847002,1.823524893468669,Medium
PRD-00068,2026-01-03 19:00:00,valve,line_1,evening,B,visual,73.83287812429104,2.217355894714091,60.03047312086607,6.661632362284015,31.077988439237682,58,24,26,89.3566665287931,1.5266988223901592,Low
